App,Category,Rating,Reviews,Size_MB,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Revenue,Description,Sentiment_Subjectivity
How To Draw Food,ART_AND_DESIGN,4.3,845,7.9,100000,Free,0,Everyone,Art & Design,28-05-18,1,2.3,0,How To Draw Food,0
Monster Truck Stunt 3D 2019,AUTO_AND_VEHICLES,4.2,367,25,100000,Free,0,Everyone,Auto & Vehicles,10-05-18,1,4,0,Monster Truck Stunt 3D 2019,0
Real Tractor Farming,AUTO_AND_VEHICLES,4,1598,56,1000000,Free,0,Everyone,Auto & Vehicles,26-07-18,11,4.1,0,Real Tractor Farming,0.3
Ultimate F1 Racing Championship,AUTO_AND_VEHICLES,3.8,284,57,100000,Free,0,Everyone,Auto & Vehicles,26-07-18,3,4.1,0,Ultimate F1 Racing Championship,1
American Muscle Car Race,AUTO_AND_VEHICLES,3.9,129,35,100000,Free,0,Everyone,Auto & Vehicles,26-07-18,3,4.1,0,American Muscle Car Race,0
Offroad Oil Tanker Driver Transport Truck 2019,AUTO_AND_VEHICLES,4.3,542,33,100000,Free,0,Everyone,Auto & Vehicles,31-07-18,4,4.1,0,Offroad Oil Tanker Driver Transport Truck 2019,0
Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,AUTO_AND_VEHICLES,4.9,10479,33,100000,Free,0,Everyone,Auto & Vehicles,18-07-18,1.7.1,4,0,Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,0
Gas Prices (Germany only),AUTO_AND_VEHICLES,4.4,805,5.6,50000,Free,0,Everyone,Auto & Vehicles,29-07-18,2.5.1,4.4,0,Gas Prices (Germany only),1
Extreme Rally Championship,AUTO_AND_VEHICLES,4.2,129,54,100000,Free,0,Everyone,Auto & Vehicles,26-07-18,3,4.1,0,Extreme Rally Championship,1
Restart Navigator,AUTO_AND_VEHICLES,4,1403,0.196289063,100000,Free,0,Everyone,Auto & Vehicles,26-08-14,1.0.1,2.2,0,Restart Navigator,0
"REG - Check the regnumber, find information about Swedish vehicles",AUTO_AND_VEHICLES,3.9,3971,3.6,100000,Free,0,Everyone,Auto & Vehicles,30-07-18,2.493,4.4,0,"REG - Check the regnumber, find information about Swedish vehicles",0
CityBus Lviv,AUTO_AND_VEHICLES,4.6,534,5.7,10000,Free,0,Everyone,Auto & Vehicles,08-07-18,1.9.1,4,0,CityBus Lviv,0
CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,7774,17,100000,Free,0,Everyone,Auto & Vehicles,03-07-18,1.7,4.2,0,CDL Practice Test 2018 Edition,0
"ezETC (ETC balance inquiry, meter trial, real-time traffic)",AUTO_AND_VEHICLES,4.3,38846,8.6,1000000,Free,0,Everyone,Auto & Vehicles,28-07-18,2.20 Build 02,4.1,0,"ezETC (ETC balance inquiry, meter trial, real-time traffic)",0
Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4.6,2431,2.4,100000,Free,0,Everyone,Auto & Vehicles,12-06-18,1.37,4,0,Free VIN Report for Used Cars,0.8
DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,6090,27,100000,Free,0,Everyone,Auto & Vehicles,03-07-18,1.7,4.2,0,DMV Permit Practice Test 2018 Edition,0
Check Vehicle Tax,AUTO_AND_VEHICLES,3.9,295,2.7,10000,Free,0,Everyone,Auto & Vehicles,30-07-18,0.2.1,4.4,0,Check Vehicle Tax,0
Used Cars Mexico,AUTO_AND_VEHICLES,4,190,2.5,50000,Free,0,Everyone,Auto & Vehicles,14-10-16,1,2.3,0,Used Cars Mexico,0
Used cars for sale - Trovit,AUTO_AND_VEHICLES,4.2,52530,7,5000000,Free,0,Everyone,Auto & Vehicles,16-07-18,4.47.3,4,0,Used cars for sale - Trovit,0
"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines",AUTO_AND_VEHICLES,4.8,116986,35,5000000,Free,0,Everyone,Auto & Vehicles,02-08-18,1.9.7,4,0,"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines",0
SK Enca Direct Malls - Used Cars Search,AUTO_AND_VEHICLES,3.6,1379,16,500000,Free,0,Everyone,Auto & Vehicles,02-08-18,2.2.21,4.2,0,SK Enca Direct Malls - Used Cars Search,0.4
"Android Auto - Maps, Media, Messaging & Voice",AUTO_AND_VEHICLES,4.2,271920,16,10000000,Free,0,Teen,Auto & Vehicles,11-07-18,Varies with device,5,0,"Android Auto - Maps, Media, Messaging & Voice",0
Tickets SDA 2019 + Exam RF,AUTO_AND_VEHICLES,4.8,7021,17,500000,Free,0,Everyone,Auto & Vehicles,27-07-18,1.79,4,0,Tickets SDA 2019 + Exam RF,0
Super Cars Wallpapers And Backgrounds,AUTO_AND_VEHICLES,4.6,197,3.4,50000,Free,0,Everyone,Auto & Vehicles,14-06-18,1.3,4,0,Super Cars Wallpapers And Backgrounds,0.666666667
"Police Lights, Sirens & Follow Me",AUTO_AND_VEHICLES,4.5,737,8.9,100000,Free,0,Everyone,Auto & Vehicles,08-06-18,2.3.5.1,4.1,0,"Police Lights, Sirens & Follow Me",0
Police Detector (Speed Camera Radar),AUTO_AND_VEHICLES,4.3,3574,3.9,1000000,Free,0,Everyone 10+,Auto & Vehicles,04-07-18,1.6,4,0,Police Detector (Speed Camera Radar),0
Best Car Wallpapers,AUTO_AND_VEHICLES,4.5,994,2.9,100000,Free,0,Everyone,Auto & Vehicles,27-03-18,1.6,4.1,0,Best Car Wallpapers,0.3
Tickets + PDA 2018 Exam,AUTO_AND_VEHICLES,4.9,197136,38,1000000,Free,0,Everyone,Auto & Vehicles,15-07-18,8.31,4.1,0,Tickets + PDA 2018 Exam,0
Pick Your Part Garage,AUTO_AND_VEHICLES,3.9,142,32,50000,Free,0,Everyone,Auto & Vehicles,24-07-18,1.1.5.0,6,0,Pick Your Part Garage,0
PakWheels: Buy & Sell Cars,AUTO_AND_VEHICLES,4.4,15168,37,1000000,Free,0,Everyone,Auto & Vehicles,27-07-18,10.0.2,4.2,0,PakWheels: Buy & Sell Cars,0
Supervision service,AUTO_AND_VEHICLES,4,2155,15,500000,Free,0,Everyone,Auto & Vehicles,30-07-18,1.10.3,5,0,Supervision service,0
Speed Camera Detector - Traffic & Speed Alert,AUTO_AND_VEHICLES,4.3,138,5.4,100000,Free,0,Everyone,Auto & Vehicles,23-07-18,1,4,0,Speed Camera Detector - Traffic & Speed Alert,0
Used car search Goo net whole car Go to net,AUTO_AND_VEHICLES,3.7,5414,18,1000000,Free,0,Everyone,Auto & Vehicles,23-07-18,3.20.1,4.4,0,Used car search Goo net whole car Go to net,0.133333333
BEST CAR SOUNDS,AUTO_AND_VEHICLES,4.3,348,38,100000,Free,0,Everyone,Auto & Vehicles,29-07-18,1.0.3,2.3,0,BEST CAR SOUNDS,0.3
RST - Sale of cars on the PCT,AUTO_AND_VEHICLES,3.2,250,1.1,100000,Free,0,Everyone,Auto & Vehicles,27-04-18,1.4,4,0,RST - Sale of cars on the PCT,0
SMS Park,AUTO_AND_VEHICLES,4.5,3617,7.9,100000,Free,0,Everyone,Auto & Vehicles,16-05-18,2.8.2,4.1,0,SMS Park,0
SKencar,AUTO_AND_VEHICLES,3.7,4806,35,1000000,Free,0,Everyone,Auto & Vehicles,31-07-18,4.0.3,4,0,SKencar,0
auto fines,AUTO_AND_VEHICLES,4.6,31433,17,1000000,Free,0,Everyone,Auto & Vehicles,02-08-18,1.4,4,0,auto fines,0
"Used car is the first car - used car purchase, used car quotation, dealer information to",AUTO_AND_VEHICLES,4.6,5097,19,1000000,Free,0,Everyone,Auto & Vehicles,23-07-18,1.5.18,4,0,"Used car is the first car - used car purchase, used car quotation, dealer information to",0.333333333
All of the parking lot - National Park application (parking lot search / parking sharing / discount payment),AUTO_AND_VEHICLES,4,1754,14,500000,Free,0,Everyone,Auto & Vehicles,02-06-18,2.3.4,4,0,All of the parking lot - National Park application (parking lot search / parking sharing / discount payment),0
Inquiry Fines and Debits of Vehicles,AUTO_AND_VEHICLES,4.4,2680,2.2,500000,Free,0,Everyone,Auto & Vehicles,20-03-18,1.03,4,0,Inquiry Fines and Debits of Vehicles,0
Gas Station,AUTO_AND_VEHICLES,4,1288,4.5,100000,Free,0,Everyone,Auto & Vehicles,21-04-18,2.17,4,0,Gas Station,0
Hush - Beauty for Everyone,BEAUTY,4.7,18900,17,500000,Free,0,Everyone,Beauty,02-08-18,6.10.1,5,0,Hush - Beauty for Everyone,0
"ipsy: Makeup, Beauty, and Tips",BEAUTY,4.9,49790,14,1000000,Free,0,Everyone,Beauty,09-11-17,2.3.0,4.1,0,"ipsy: Makeup, Beauty, and Tips",0
Natural recipes for your beauty,BEAUTY,4.7,1150,9.8,100000,Free,0,Everyone,Beauty,15-05-18,4,4.1,0,Natural recipes for your beauty,0.4
"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3.9,1739,21,500000,Free,0,Everyone,Beauty,12-07-18,1.0.6,4,0,"BestCam Selfie-selfie, beauty camera, photo editor",0
Beauty Selfie Camera,BEAUTY,4.2,2225,52,500000,Free,0,Everyone,Beauty,28-02-18,1.6,4.1,0,Beauty Selfie Camera,0
Hairstyles step by step,BEAUTY,4.6,4369,14,100000,Free,0,Everyone,Beauty,25-07-18,1.9,4,0,Hairstyles step by step,0
Filters for Selfie,BEAUTY,4.3,8572,25,1000000,Free,0,Everyone,Beauty,10-05-18,1.1.0,4,0,Filters for Selfie,0
Tie - Always be happy,BEAUTY,4.7,964,9,50000,Free,0,Everyone,Beauty,21-06-18,4,4.2,0,Tie - Always be happy,1
Prom MakeUp Tutorial,BEAUTY,4.8,104,12,10000,Free,0,Everyone,Beauty,26-06-18,1.3,4,0,Prom MakeUp Tutorial,0
Sweet Selfie Beauty Camera,BEAUTY,4.3,601,35,100000,Free,0,Everyone,Beauty,02-06-18,2.0.0,4,0,Sweet Selfie Beauty Camera,0.65
Colors of white in Urdu,BEAUTY,4.5,36,6.7,10000,Free,0,Everyone,Beauty,26-07-18,6,4,0,Colors of white in Urdu,0
Selfie Camera Photo Editor & Filter & Sticker,BEAUTY,4.1,187,30,50000,Free,0,Teen,Beauty,24-07-18,3.0.1,4,0,Selfie Camera Photo Editor & Filter & Sticker,0
Eyes Makeup Beauty Tips,BEAUTY,4.2,30,2.9,10000,Free,0,Everyone,Beauty,09-04-18,3.3.9,4,0,Eyes Makeup Beauty Tips,0
Photo Editor 2018,BEAUTY,4.5,134,17,10000,Free,0,Everyone,Beauty,01-03-18,1.2,4,0,Photo Editor 2018,0
Step By Step Eyes Makeup Tutorial,BEAUTY,4.4,74,2.9,10000,Free,0,Everyone,Beauty,05-04-18,2.3.09,4,0,Step By Step Eyes Makeup Tutorial,0
Mirror Camera (Mirror + Selfie Camera),BEAUTY,4.1,9315,2.6,1000000,Free,0,Everyone,Beauty,21-11-17,1.4.2,4,0,Mirror Camera (Mirror + Selfie Camera),0
Beauty Tips - Beauty Tips in Sinhala,BEAUTY,4.4,75,4.2,50000,Free,0,Everyone,Beauty,18-10-17,1.0.0,4,0,Beauty Tips - Beauty Tips in Sinhala,0
Haircut Tutorials/Haircut Videos,BEAUTY,4.6,38,7.1,10000,Free,0,Everyone,Beauty,29-05-18,1,4,0,Haircut Tutorials/Haircut Videos,0
"Sephora: Skin Care, Beauty Makeup & Fragrance Shop",BEAUTY,4.5,26834,57,1000000,Free,0,Everyone,Beauty,24-07-18,18.5,5,0,"Sephora: Skin Care, Beauty Makeup & Fragrance Shop",0
"Sticker Camera - Selfie Filters, Beauty Camera",BEAUTY,3.9,2277,22,500000,Free,0,Everyone,Beauty,12-07-18,1.1.0,4,0,"Sticker Camera - Selfie Filters, Beauty Camera",0
Filters for B Live,BEAUTY,4.4,2280,24,500000,Free,0,Everyone,Beauty,14-05-18,1.1.0,4,0,Filters for B Live,0.5
Facial Wrinkle Reduction,BEAUTY,4.6,184,21,10000,Free,0,Everyone,Beauty,02-07-18,1.5,4.1,0,Facial Wrinkle Reduction,0
Makeup Videos,BEAUTY,3.8,9,3.4,5000,Free,0,Everyone,Beauty,07-06-18,1,4,0,Makeup Videos,0
Discover Color,BEAUTY,4,364,6.4,100000,Free,0,Everyone,Beauty,24-05-18,1.1,4,0,Discover Color,0
Eyeliner step by step 2018,BEAUTY,4.3,18,3.2,5000,Free,0,Everyone,Beauty,01-06-18,1.2.13,4,0,Eyeliner step by step 2018,0
Dresses Ideas & Fashions +3000,BEAUTY,4.5,473,8.2,100000,Free,0,Mature 17+,Beauty,01-03-17,1.0.2.0,1.6,0,Dresses Ideas & Fashions +3000,0
Step By Step Hairstyles For Women,BEAUTY,4.1,66,2.9,10000,Free,0,Everyone,Beauty,05-04-18,3.1.89,4,0,Step By Step Hairstyles For Women,0
Rainbow Camera,BEAUTY,3.7,3871,23,1000000,Free,0,Everyone,Beauty,30-07-18,2.2.0,4,0,Rainbow Camera,0
Methods of teeth whitening,BEAUTY,4.7,257,4.6,50000,Free,0,Everyone,Beauty,07-08-17,1,4,0,Methods of teeth whitening,0
Girls hairstyles 2018,BEAUTY,4.2,62,3.1,10000,Free,0,Everyone,Beauty,28-05-18,1.9.2,4,0,Girls hairstyles 2018,0
E-Book Read - Read Book for free,BOOKS_AND_REFERENCE,4.5,1857,4.9,50000,Free,0,Everyone,Books & Reference,03-08-18,1.3.2,4.4,0,E-Book Read - Read Book for free,0.8
Download free book with green book,BOOKS_AND_REFERENCE,4.6,4478,9.5,100000,Free,0,Everyone 10+,Books & Reference,31-07-17,1.1,4,0,Download free book with green book,0.55
Free Panda Radio Music,BOOKS_AND_REFERENCE,4.5,418,4.2,100000,Free,0,Everyone,Books & Reference,27-03-18,2.1,4.1,0,Free Panda Radio Music,0.8
Book store,BOOKS_AND_REFERENCE,4.4,22486,5.4,1000000,Free,0,Teen,Books & Reference,06-06-18,3.2.1,4,0,Book store,0
English Grammar Complete Handbook,BOOKS_AND_REFERENCE,4.6,1435,2.8,500000,Free,0,Everyone,Books & Reference,21-01-18,1,4,0,English Grammar Complete Handbook,0.2
Free Books - Spirit Fanfiction and Stories,BOOKS_AND_REFERENCE,4.8,116507,5,1000000,Free,0,Teen,Books & Reference,01-08-18,2.0.075,4,0,Free Books - Spirit Fanfiction and Stories,0.8
AlReader -any text book reader,BOOKS_AND_REFERENCE,4.6,90468,5.9,5000000,Free,0,Everyone,Books & Reference,27-05-18,1.91180527,2.3,0,AlReader -any text book reader,0
Offline English Dictionary,BOOKS_AND_REFERENCE,4.2,860,13,100000,Free,0,Everyone,Books & Reference,17-07-18,1,4,0,Offline English Dictionary,0
Oxford Dictionary of English : Free,BOOKS_AND_REFERENCE,4.1,363934,7.1,10000000,Free,0,Everyone,Books & Reference,11-07-18,9.1.363,4.1,0,Oxford Dictionary of English : Free,0.4
Offline: English to Tagalog Dictionary,BOOKS_AND_REFERENCE,4.7,967,6.7,500000,Free,0,Everyone,Books & Reference,04-08-18,1.1.6,4,0,Offline: English to Tagalog Dictionary,0
FamilySearch Tree,BOOKS_AND_REFERENCE,4.3,17506,17,1000000,Free,0,Everyone,Books & Reference,20-07-18,2.3.18,4.1,0,FamilySearch Tree,0
Cloud of Books,BOOKS_AND_REFERENCE,3.3,1862,19,1000000,Free,0,Everyone,Books & Reference,27-04-18,2.2.5,4.1,0,Cloud of Books,0
Recipes of Prophetic Medicine for free,BOOKS_AND_REFERENCE,4.6,2084,6.7,500000,Free,0,Everyone,Books & Reference,17-05-18,15,2.3,0,Recipes of Prophetic Medicine for free,0.8
ReadEra – free ebook reader,BOOKS_AND_REFERENCE,4.8,47303,21,1000000,Free,0,Everyone,Books & Reference,02-06-18,18.05.31+530,4.1,0,ReadEra – free ebook reader,0.8
Ebook Reader,BOOKS_AND_REFERENCE,4.1,85842,37,5000000,Free,0,Everyone,Books & Reference,25-06-18,5.0.6,4,0,Ebook Reader,0
Litnet - E-books,BOOKS_AND_REFERENCE,4.6,7831,15,100000,Free,0,Teen,Books & Reference,04-07-18,1.2.3,4,0,Litnet - E-books,0
Read books online,BOOKS_AND_REFERENCE,4.1,91615,23,5000000,Free,0,Mature 17+,Books & Reference,29-06-18,3.12,4.1,0,Read books online,0
English to Urdu Dictionary,BOOKS_AND_REFERENCE,4.6,4620,19,500000,Free,0,Everyone,Books & Reference,23-11-17,2,4,0,English to Urdu Dictionary,0
eBoox: book reader fb2 epub zip,BOOKS_AND_REFERENCE,4.7,21336,23,1000000,Free,0,Everyone,Books & Reference,20-06-18,1.28,3,0,eBoox: book reader fb2 epub zip,0
English Persian Dictionary,BOOKS_AND_REFERENCE,4.5,26875,73,500000,Free,0,Everyone,Books & Reference,01-08-18,6.0.8,4,0,English Persian Dictionary,0
Flybook,BOOKS_AND_REFERENCE,3.9,1778,4.9,500000,Free,0,Mature 17+,Books & Reference,16-10-14,1.0.3,2.1,0,Flybook,0
All Maths Formulas,BOOKS_AND_REFERENCE,4.4,2709,6.8,1000000,Free,0,Everyone,Books & Reference,11-07-18,1.9,4.4,0,All Maths Formulas,0
English translation from Bengali,BOOKS_AND_REFERENCE,4.5,527,2.9,100000,Free,0,Everyone,Books & Reference,31-03-18,14,4,0,English translation from Bengali,0
Pdf Book Download - Read Pdf Book,BOOKS_AND_REFERENCE,4.4,1322,3.5,100000,Free,0,Everyone,Books & Reference,28-05-18,6,4,0,Pdf Book Download - Read Pdf Book,0
Free Book Reader,BOOKS_AND_REFERENCE,3.4,1680,4,100000,Free,0,Everyone,Books & Reference,20-08-16,3.05,4,0,Free Book Reader,0.8
eBoox new: Reader for fb2 epub zip books,BOOKS_AND_REFERENCE,4.9,2739,21,50000,Free,0,Everyone,Books & Reference,17-07-18,2,3,0,eBoox new: Reader for fb2 epub zip books,0.454545455
"Only 30 days in English, the guideline is guaranteed",BOOKS_AND_REFERENCE,4.6,1065,2.3,500000,Free,0,Everyone,Books & Reference,16-06-18,1.5,3,0,"Only 30 days in English, the guideline is guaranteed",0.5
English-Myanmar Dictionary,BOOKS_AND_REFERENCE,4.4,8788,10,1000000,Free,0,Everyone,Books & Reference,28-07-18,2.5.3,4,0,English-Myanmar Dictionary,0
Golden Dictionary (EN-AR),BOOKS_AND_REFERENCE,4.4,51269,6.1,1000000,Free,0,Everyone,Books & Reference,19-07-18,7.0.4.6,4.2,0,Golden Dictionary (EN-AR),0.5
All Language Translator Free,BOOKS_AND_REFERENCE,4.4,30105,2.1,1000000,Free,0,Everyone,Books & Reference,29-07-18,1.15,4,0,All Language Translator Free,0.8
Azpen eReader,BOOKS_AND_REFERENCE,3.5,156,42,500000,Free,0,Everyone,Books & Reference,15-02-18,3.1.7.9,2.2,0,Azpen eReader,0
English Dictionary - Offline,BOOKS_AND_REFERENCE,4.4,341157,30,10000000,Free,0,Everyone 10+,Books & Reference,20-03-18,3.9.1,4.2,0,English Dictionary - Offline,0
ADP Mobile Solutions,BUSINESS,4.3,85185,29,5000000,Free,0,Everyone,Business,17-07-18,3.4.2,5,0,ADP Mobile Solutions,0
OfficeSuite : Free Office + PDF Editor,BUSINESS,4.3,1002861,35,100000000,Free,0,Everyone,Business,02-08-18,9.7.14188,4.1,0,OfficeSuite : Free Office + PDF Editor,0.8
USPS MOBILE®,BUSINESS,3.9,16589,9.1,1000000,Free,0,Everyone,Business,14-06-18,4.9.10,4,0,USPS MOBILE®,0
Job Search by ZipRecruiter,BUSINESS,4.8,148945,25,1000000,Free,0,Everyone,Business,19-07-18,5.2.8,5,0,Job Search by ZipRecruiter,0
